BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,cty_fips,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199607,11,2200,199607,12,800,2037283,5552060,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,141,COASTAL MCINTOSH,13141,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",NA,PDC
199607,11,2200,199607,12,800,2037283,5552058,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,139,COASTAL LIBERTY,13139,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",NA,PDC
199607,11,2200,199607,12,800,2037283,5552056,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,119,COASTAL CHATHAM,13119,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",NA,PDC
199607,11,2200,199607,12,800,2037283,5552057,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,138,INLAND LIBERTY,13138,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",NA,PDC
199607,12,100,199607,12,1100,2037282,5552048,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,45,BERKELEY,45045,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 11:00:00,0,0,0,0,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",NA,PDC
199607,12,100,199607,12,900,2037282,5552049,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,47,JASPER,45047,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 09:00:00,0,0,0,0,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",NA,PDC
199607,12,100,199607,12,900,2037282,5552050,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,48,BEAUFORT,45048,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 09:00:00,0,0,0,0,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",NA,PDC
199607,12,100,199607,12,900,2037282,5552051,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,49,SOUTHERN COLLETON,45049,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 09:00:00,0,0,0,0,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",NA,PDC
199607,11,2200,199607,12,800,2037283,5552059,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,140,INLAND MCINTOSH,13140,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",NA,PDC
199607,11,2200,199607,12,800,2037283,5552054,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,117,COASTAL BRYAN,13117,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",NA,PDC
199607,11,2200,199607,12,800,2037283,5552055,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,118,INLAND CHATHAM,13118,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",NA,PDC
199607,12,100,199607,12,1100,2037282,5552047,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,44,DORCHESTER,45044,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 11:00:00,0,0,0,0,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",NA,PDC
199607,12,300,199607,12,1100,2037282,5552052,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,50,CHARLESTON,45050,CHS,12-JUL-96 03:00:00,EST,12-JUL-96 11:00:00,0,0,0,0,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",NA,PDC
199607,11,2200,199607,12,800,2037283,5552053,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,116,INLAND BRYAN,13116,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",NA,PDC
199607,12,1000,199607,13,600,2054534,5580397,NORTH CAROLINA,37,1996,July,Hurricane (Typhoon),Z,91,LENOIR,37091,MHX,12-JUL-96 10:00:00,EST,13-JUL-96 06:00:00,0,0,0,0,.6M,15M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Bertha slammed into the North Carolina coastline between Surf City and North Topsail Beach causing severe damage to property, utilities and roads.  Hardest hit were agricultural crops which suffered losses in excess of $126 million.  Heaviest damage was in Topsail Beach and all of Onslow County up the coast to Emerald Isle in Carteret County.  In Onslow alone, 199 structures were destroyed (117 were mobile homes).  An 8-10 foot storm surge struck Swansboro and Emerald Isle.  Several businesses were flooded.  Water flowed through the streets of Belhaven in Beaufort County where the surge was around 7 feet.  In New Bern, numerous boats were sunk or damaged at 3 private marinas.  Fishing piers were demolished all along the coast.  New River (Marine Corps Air Station in Jacksonville) reported a peak wind gust of 108 mph.  Rainfall across the region ranged from 8 inches in the Hofman Forest (Onslow) to 6 1/2 inches in Broad Creek to over 5 1/2 in Snow Hill and Washington.",NA,PDC
199607,12,1700,199607,13,400,2056604,5583533,NORTH CAROLINA,37,1996,July,Hurricane (Typhoon),Z,30,BERTIE,37030,AKQ,12-JUL-96 17:00:00,EST,13-JUL-96 04:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hurricane Bertha moved across northeast North Carolina on July 12th and 13th. The center of Bertha moved ashore near Wrightsville Beach, North Carolina shortly before 500 PM Friday July 12th. Spiral bands around the northern and eastern side of the storm affected northeast North Carolina from early Friday evening into the early morning hours of Saturday. The highest sustained wind speed recorded at the Elizabeth City Coast Guard Station (ECG) was 45 mph with gusts to 55 mph. Numerous trees and power lines blown down resulted in scattered property damage and widespread power outages. Coastal Pasquotank and Camden counties experienced approximately a 4 foot storm surge in the Albemarle Sound flooding coastal sections of these counties. A 5 foot storm surge extended up the Pasquotank River inundating Elizabeth City. Chowan, Hertford, and Gates counties experienced a 1 to 2 foot storm surge from the Albemarle Sound causing minor flooding in Edenton. Currituck county reported only minor flooding from the Currituck Sound. Rainfall amounts generally ranged from 2.5 to 4.5 inches and caused some street flooding. The lowest sea level pressure recorded at the Elizabeth City Coast Guard Station (ECG) was 999 mb.",NA,PDC
