BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,cty_fips,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201604,27,907,201604,27,907,105260,631024,GULF OF MEXICO,85,2016,April,Marine Tropical Depression,Z,455,COASTAL WATERS FROM LOWER ATCHAFALAYA RIVER TO INTRACOASTAL CITY LA OUT 20 NM,85455,LCH,27-APR-16 09:07:00,CST-6,27-APR-16 09:07:00,0,0,0,0,0.00K,0.00K,Public,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A strong short wave accompanied a cold front that swept through the area during the morning of the 27th. The line of storms produced high wind gusts across the coastal waters including the nearshore lakes.,A wind gust of 44 MPH was recorded at a platform in South Marsh Island Block 217.,CSV
201710,28,2200,201710,29,0,120991,724215,ATLANTIC SOUTH,87,2017,October,Marine Tropical Depression,Z,630,BISCAYNE BAY,87630,MFL,28-OCT-17 22:00:00,EST-5,29-OCT-17 00:00:00,0,0,0,0,NA,NA,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tropical Storm Philippe was a very disorganized storm as it moved across the Florida Straits on October 28th, making landfall in extreme South Florida along the Florida Bay on October 29th as a minimal tropical storm. ||The storm lead to hazardous marine conditions on the local Atlantic waters as it crossed the region.","Tropical Storm Philippe produced maximum sustained winds generally between 20 and 30 knots (25 and 35 mph) across Biscayne Bay for around 2 hours during the late evening hours of October 28th. A peak gust of 49 knots (57 mph) was measured at WxFlow site XKBS, located at Biscayne Bay Light 20 during the late night hours, with other sites measuring peak gusts of 40 to 45 mph.",CSV
201809,3,834,201809,3,834,131628,787503,ATLANTIC SOUTH,87,2018,September,Marine Tropical Depression,Z,630,BISCAYNE BAY,87630,MFL,03-SEP-18 08:34:00,EST-5,03-SEP-18 08:34:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system moving across the tropical Atlantic into the Bahamas formed into Tropical Storm Gordon near the South Florida peninsula. Although the effects from Tropical Storm Gordon were fairly minor for South Florida, there were sustained Tropical Storm force winds over the Atlantic waters creating hazardous marine conditions.",Sustained tropical depression winds of 30 knots were recorded by the mesonet site XMSP located at Morningside Park Miami. A wind gust of 38 knots was recorded at 834 AM EDT.,CSV
201809,3,1104,201809,3,1104,131628,787504,ATLANTIC SOUTH,87,2018,September,Marine Tropical Depression,Z,650,JUPITER INLET TO DEERFIELD BEACH FL OUT 20NM,87650,MFL,03-SEP-18 11:04:00,EST-5,03-SEP-18 11:04:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system moving across the tropical Atlantic into the Bahamas formed into Tropical Storm Gordon near the South Florida peninsula. Although the effects from Tropical Storm Gordon were fairly minor for South Florida, there were sustained Tropical Storm force winds over the Atlantic waters creating hazardous marine conditions.",Sustained tropical depression winds of 31 knots were recorded by the mesonet site XJUP located at Juno Beach Pier. A wind gust of 38 knots was recorded at 1104 AM EDT.,CSV
201809,3,1024,201809,3,1024,131628,787494,ATLANTIC SOUTH,87,2018,September,Marine Tropical Depression,Z,650,JUPITER INLET TO DEERFIELD BEACH FL OUT 20NM,87650,MFL,03-SEP-18 10:24:00,EST-5,03-SEP-18 10:24:00,0,0,0,0,0.00K,0.00K,C-MAN Station,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system moving across the tropical Atlantic into the Bahamas formed into Tropical Storm Gordon near the South Florida peninsula. Although the effects from Tropical Storm Gordon were fairly minor for South Florida, there were sustained Tropical Storm force winds over the Atlantic waters creating hazardous marine conditions.",Sustained tropical depression winds of 32 knots were recorded by the C-MAN station LKWF1 located at Lake Worth. A wind gust of 41 knots was recorded at 1024 AM EDT.,CSV
201809,3,751,201809,3,751,131628,787500,ATLANTIC SOUTH,87,2018,September,Marine Tropical Depression,Z,630,BISCAYNE BAY,87630,MFL,03-SEP-18 07:51:00,EST-5,03-SEP-18 07:51:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system moving across the tropical Atlantic into the Bahamas formed into Tropical Storm Gordon near the South Florida peninsula. Although the effects from Tropical Storm Gordon were fairly minor for South Florida, there were sustained Tropical Storm force winds over the Atlantic waters creating hazardous marine conditions.",Sustained tropical depression winds of 31 knots were recorded by the mesonet site XDIN located at Dinner Light Key. A wind gust of 41 knots was recorded at 741 AM EDT.,CSV
201809,3,951,201809,3,951,131628,787502,ATLANTIC SOUTH,87,2018,September,Marine Tropical Depression,Z,651,DEERFIELD BEACH TO OCEAN REEF FL,87651,MFL,03-SEP-18 09:51:00,EST-5,03-SEP-18 09:51:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system moving across the tropical Atlantic into the Bahamas formed into Tropical Storm Gordon near the South Florida peninsula. Although the effects from Tropical Storm Gordon were fairly minor for South Florida, there were sustained Tropical Storm force winds over the Atlantic waters creating hazardous marine conditions.",Sustained tropical depression winds of 31 knots were recorded by the mesonet site XDAN located at Dania Beach Pier. A wind gust of 44 knots was recorded at 811 AM EDT.,CSV
201909,18,1532,201909,18,1532,143014,857993,GULF OF MEXICO,85,2019,September,Marine Tropical Depression,Z,44,HAWK CHANNEL FROM WEST END OF SEVEN MILE BRIDGE TO HALFMOON SHOAL OUT TO THE REEF,85044,KEY,18-SEP-19 15:32:00,EST-5,18-SEP-19 15:32:00,0,0,0,0,0.00K,0.00K,ASOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scattered gale-force wind gusts were measured in association with convection rain showers preceding a push of continental-origin air into the Florida Keys.,A wind gust of 38 knots was measured at the Naval Air Station Key West airfield on Boca Chica Key.,CSV
201909,2,100,201909,4,0,142679,856983,ATLANTIC SOUTH,87,2019,September,Marine Tropical Depression,Z,610,LAKE OKEECHOBEE,87610,MFL,02-SEP-19 01:00:00,EST-5,04-SEP-19 00:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Powerful Hurricane Dorian passed 100 miles to the east of Palm Beach County over the northwestern Bahamas. As Dorian tracked very slowly through Abaco and Grand Bahama islands, it brought hazardous and life-threatening conditions to the local waters of South Florida. Sustained tropical storm force winds were observed over the offshore Atlantic waters and northern nearshore waters of Palm Beach. Southern coastal waters and Lake Okeechobee experienced sustained tropical depression winds with some gusts to tropical storm force.","Hurricane Dorian produced maximum sustained winds generally between 20-30 knots, with the highest sustained reading recorded by the SFWMD sites L006 and LZ40. These sites recorded maximum sustained winds of 27 knots from the north-northwest at 915 PM on September 3rd.",CSV
201909,2,400,201909,3,1000,142679,856982,ATLANTIC SOUTH,87,2019,September,Marine Tropical Depression,Z,630,BISCAYNE BAY,87630,MFL,02-SEP-19 04:00:00,EST-5,03-SEP-19 10:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Powerful Hurricane Dorian passed 100 miles to the east of Palm Beach County over the northwestern Bahamas. As Dorian tracked very slowly through Abaco and Grand Bahama islands, it brought hazardous and life-threatening conditions to the local waters of South Florida. Sustained tropical storm force winds were observed over the offshore Atlantic waters and northern nearshore waters of Palm Beach. Southern coastal waters and Lake Okeechobee experienced sustained tropical depression winds with some gusts to tropical storm force.","Satellite and radar velocity data support tropical storm force sustained winds between 20 to 30 knots in Biscayne Bay. The highest recorded sustained winds was recorded by the WeatherBug site located at the Frost Museum of Science Miami, which recorded sustained winds of 27 knots from the northwest at 420 AM EDT on September 3rd.",CSV
