BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,cty_fips,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199709,20,1150,199709,20,1800,1050136,5627050,VIRGIN ISLANDS,96,1997,September,Volcanic Ash,C,33,ST. CROIX,96033,SJU,20-SEP-97 11:50:00,AST,20-SEP-97 18:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ST. CROIX,NA,NA,ST. CROIX,NA,NA,NA,NA,NA,A pilot reported an ash cloud from St. Croix to Vieques at an altitude of 9 to 10 thousand feet.,PDC
199709,27,2210,199709,28,600,2071308,5627051,VIRGIN ISLANDS,96,1997,September,Volcanic Ash,C,33,ST. CROIX,96033,SJU,27-SEP-97 22:10:00,AST,28-SEP-97 06:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ST. CROIX,NA,NA,ST. CROIX,NA,NA,NA,NA,NA,Several pilots reported an extremely thick volcanic ash cloud between 19 and 22 thousand feet.,PDC
199904,19,1100,199904,20,1130,1503466,5689788,ALASKA,2,1999,April,Volcanic Ash,C,19,WESTERN AK PENINSULA,02019,AFC,19-APR-99 11:00:00,AST,20-APR-99 11:30:00,0,0,0,0,NA,NA,GOVT OFFICIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE PASS,NA,NA,FALSE PASS,NA,NA,NA,NA,NA,"The Shishaldin volcano erupted just after 11am Monday.  The eruption lasted for close to 6 hours.  Fortunately, prevailing winds were north to northwest at lower levels, carrying the ash across uninhabited areas of Unimak Island out into the Pacific.  These eruptions during this time of year can typically melt snows on the volcano mountain very rapidly, triggering flash floods and mud slides.  In this case, a warning was issued for ash...primarily as it pertained to health and respiratory problems.",PDC
199904,22,2100,199904,22,2100,1503467,5689791,ALASKA,2,1999,April,Volcanic Ash,C,19,WESTERN AK PENINSULA,02019,AFC,22-APR-99 21:00:00,AST,22-APR-99 21:00:00,0,0,0,0,NA,NA,GOVT OFFICIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,WSW,FALSE PASS,21,WSW,FALSE PASS,NA,NA,NA,NA,NA,Another explosive eruption was reported from the Shishaldin Volcano on Unimak Island late Thursday at 9:50 pm ADT.  The plume initially moved south not impacting any communities.,PDC
200102,19,745,200102,19,1800,1110218,5228535,ALASKA,2,2001,February,Volcanic Ash,Z,191,WESTERN ALEUTIANS,02191,AFC,19-FEB-01 07:45:00,AST,19-FEB-01 18:00:00,0,0,0,0,NA,NA,OFFICIAL NWS OBS.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVO detected a volcanic ash cloud emanating from Cleveland Volcano in satellite imagery that began 1500 Z (0600 AST) in the Islands of the Four Mountains.  The first Sigmet for ash was issued by the Alaska Aviation Weather Unit at 19/1835Z (9:35 am Monday) in response to a call from Alaska Vsolcano Observatory in Fairbanks.  The first public warning for ash was issued within 25 minutes of the SIGMET.  Ash cloud was drifting southeast of Cleveland and reached about 17,000 feet asl.  Another higher ash cloud extended to the north about 60 miles and reached an estimated altitude of 30,000+  ft asl.Ashl was reported in Nikolski.  The ash cloud purportedly grew to more than 100 miles long as it was blown eastward. Mt. Cleveland forms the western half of Chuginadak Island, a remote and uninhabited island in the east central Aleutians.  It is located 25 miles west of Umnak Island and 40 miles west of the community of Nikolski.  A distinctively symmetrical sratovolcano, Cleveland has erupted 11 times since 1893.  Its most recent eruption on May 25, 1994 sent a short-lived ash plume to about 35,000 ft altitude.  Ash fall from this eruption impacted the north and east flanks of the volcano, and small debris flows may have formed on the southwest flank.  On October 20, 1994, AVO identified a possible ash plume on satellite imagery, however, no eruption was confirmed.",NA,PDS
200102,19,745,200102,19,1800,1110218,5228534,ALASKA,2,2001,February,Volcanic Ash,Z,185,EASTERN ALEUTIANS,02185,AFC,19-FEB-01 07:45:00,AST,19-FEB-01 18:00:00,0,0,0,0,NA,NA,OFFICIAL NWS OBS.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AVO detected a volcanic ash cloud emanating from Cleveland Volcano in satellite imagery that began 1500 Z (0600 AST) in the Islands of the Four Mountains.  The first Sigmet for ash was issued by the Alaska Aviation Weather Unit at 19/1835Z (9:35 am Monday) in response to a call from Alaska Vsolcano Observatory in Fairbanks.  The first public warning for ash was issued within 25 minutes of the SIGMET.  Ash cloud was drifting southeast of Cleveland and reached about 17,000 feet asl.  Another higher ash cloud extended to the north about 60 miles and reached an estimated altitude of 30,000+  ft asl.Ashl was reported in Nikolski.  The ash cloud purportedly grew to more than 100 miles long as it was blown eastward. Mt. Cleveland forms the western half of Chuginadak Island, a remote and uninhabited island in the east central Aleutians.  It is located 25 miles west of Umnak Island and 40 miles west of the community of Nikolski.  A distinctively symmetrical sratovolcano, Cleveland has erupted 11 times since 1893.  Its most recent eruption on May 25, 1994 sent a short-lived ash plume to about 35,000 ft altitude.  Ash fall from this eruption impacted the north and east flanks of the volcano, and small debris flows may have formed on the southwest flank.  On October 20, 1994, AVO identified a possible ash plume on satellite imagery, however, no eruption was confirmed.",NA,PDS
200107,29,400,200107,29,1200,1120563,5260060,PUERTO RICO,99,2001,July,Volcanic Ash,Z,9,WESTERN INTERIOR,99009,SJU,29-JUL-01 04:00:00,AST,29-JUL-01 12:00:00,0,0,0,0,NA,NA,EMERGENCY MANAGER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Montserrat Volcano erupted during the late afternoon of Sunday July 29. A large amount of volcanic ash was released into the atmosphere during Sunday evening and night. Simultaneously, a strong tropical wave was crossing the Leeward Islands.  Strong southeast winds moved the volcanic ash towards the U.S. Virgin Islands and Puerto Rico. Rainfall during Sunday night and Monday morning deposited the ash across most of the Virgin Islands and eastern Puerto Rico. This was a significant event. Roads,  cars and vegetation were covered by an ash layer. Aviation operations across Puerto Rico and the Virgin Islands were suspended until Tuesday morning.",NA,PDS
200107,29,400,200107,29,1200,1120563,5260059,PUERTO RICO,99,2001,July,Volcanic Ash,Z,11,SOUTHWEST,99011,SJU,29-JUL-01 04:00:00,AST,29-JUL-01 12:00:00,0,0,0,0,NA,NA,EMERGENCY MANAGER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Montserrat Volcano erupted during the late afternoon of Sunday July 29. A large amount of volcanic ash was released into the atmosphere during Sunday evening and night. Simultaneously, a strong tropical wave was crossing the Leeward Islands.  Strong southeast winds moved the volcanic ash towards the U.S. Virgin Islands and Puerto Rico. Rainfall during Sunday night and Monday morning deposited the ash across most of the Virgin Islands and eastern Puerto Rico. This was a significant event. Roads,  cars and vegetation were covered by an ash layer. Aviation operations across Puerto Rico and the Virgin Islands were suspended until Tuesday morning.",NA,PDS
200107,29,400,200107,29,1200,1120565,5260062,VIRGIN ISLANDS,96,2001,July,Volcanic Ash,Z,2,ST. CROIX,96002,SJU,29-JUL-01 04:00:00,AST,29-JUL-01 12:00:00,0,0,0,0,100K,NA,NEWSPAPER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Montserrat Volcano erupted during the late afternoon of Sunday July 29.  A large amount of  volcanic ash was released into the atmosphere during Sunday evening and night.  Simultaneously, a strong tropical wave was crossing the Leeward Islands. Strong southeast winds moved the volcanic ash towards the U.S. Virgin Islands and Puerto Rico. Rainfall during Sunday night and Monday morning deposited the ash across most of the Virgin Islands and eastern Puerto Rico.  This was a significant event.  Roads, cars and vegetation were covered by an ash layer.  Aviation operations across Puerto Rico and the Virgin Islands were suspended until Tuesday morning.",NA,PDS
200107,29,400,200107,29,1200,1120565,5260063,VIRGIN ISLANDS,96,2001,July,Volcanic Ash,Z,1,ST. THOMAS / ST. JOHN AND ADJACENT ISLANDS,96001,SJU,29-JUL-01 04:00:00,AST,29-JUL-01 12:00:00,0,0,0,0,100K,NA,NEWSPAPER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Montserrat Volcano erupted during the late afternoon of Sunday July 29.  A large amount of  volcanic ash was released into the atmosphere during Sunday evening and night.  Simultaneously, a strong tropical wave was crossing the Leeward Islands. Strong southeast winds moved the volcanic ash towards the U.S. Virgin Islands and Puerto Rico. Rainfall during Sunday night and Monday morning deposited the ash across most of the Virgin Islands and eastern Puerto Rico.  This was a significant event.  Roads, cars and vegetation were covered by an ash layer.  Aviation operations across Puerto Rico and the Virgin Islands were suspended until Tuesday morning.",NA,PDS
